Sample	Coral	Condition	Source	ASV	Relative Abundance
PBd	Mcav	H	non-lesion	Algicola	0
PBD1	Mcav	DH	non-lesion	Algicola	0
PBD2	Mcav	DH	non-lesion	Algicola	0
PBD3	Mcav	DD	lesion	Algicola	0
PBF1	Mcav	H	non-lesion	Algicola	0
PBF2	Mcav	DH	non-lesion	Algicola	0
PBF3	Mcav	DH	non-lesion	Algicola	0
PBF4	Mcav	DD	lesion	Algicola	0.0015
10FTL	Mcav	DD	lesion	Algicola	0
11FTL	Mcav	DH	non-lesion	Algicola	0
12FTL	Mcav	DH	non-lesion	Algicola	0
13FTL	Ofav	DH	non-lesion	Algicola	0
14FTL	Ofav	DH	non-lesion	Algicola	0
15FTL	Ofav	DD	lesion	Algicola	0
1FTL	Mcav	DD	lesion	Algicola	0
2FTL	Mcav	DH	non-lesion	Algicola	0
3FTL	Mcav	DH	non-lesion	Algicola	0.0025
4FTL	Mcav	DD	lesion	Algicola	0
5FTL	Mcav	DH	non-lesion	Algicola	0
6FTL	Mcav	DH	non-lesion	Algicola	0
7FTL	Mcav	DD	lesion	Algicola	0
8FTL	Mcav	DH	non-lesion	Algicola	0
9FTL	Mcav	DH	non-lesion	Algicola	0
Dl10A	Dlab	DD	lesion	Vibrio	0.0025
Dl10B	Dlab	DH	non-lesion	Vibrio	0
Dl10C	Dlab	H	non-lesion	Vibrio	0
Dl6A	Dlab	DD	lesion	Vibrio	0.0585
Dl6B	Dlab	DH	non-lesion	Vibrio	0.0153
Dl6C	Dlab	DH	non-lesion	Vibrio	0
Dl7C	Dlab	DH	non-lesion	Vibrio	0
Dl8A	Dlab	DD	lesion	Vibrio	0
Dl8B	Dlab	DH	non-lesion	Vibrio	0
Dl8C	Dlab	DH	non-lesion	Vibrio	0
Dl9A	Dlab	DD	lesion	Vibrio	0.009
Dl9B	Dlab	DH	non-lesion	Vibrio	0.001
Dl9C	Dlab	DH	non-lesion	Vibrio	0
Ds1A	Dsto	DD	lesion	Vibrio	0
Ds1B	Dsto	DH	non-lesion	Vibrio	0
Ds1C	Dsto	DH	non-lesion	Vibrio	0
Ds2A	Dsto	DD	lesion	Vibrio	0
Ds2B	Dsto	DH	non-lesion	Vibrio	0
Ds2C	Dsto	DH	non-lesion	Vibrio	0
Ds3A	Dsto	DD	lesion	Vibrio	0.0025
Ds3B	Dsto	DH	non-lesion	Vibrio	0.0165
Ds3C	Dsto	DH	non-lesion	Vibrio	0
Ds4A	Dsto	DD	lesion	Vibrio	0
Ds4B	Dsto	DH	non-lesion	Vibrio	0
Ds4C	Dsto	DH	non-lesion	Vibrio	0
PBa	Mcav	H	non-lesion	Vibrio	0
PBA1	Mcav	DH	non-lesion	Vibrio	0
PBA2	Mcav	DH	non-lesion	Vibrio	0
PBA3	Mcav	DD	lesion	Vibrio	0.0009
PBA4	Mcav	DH	non-lesion	Vibrio	0.0479
PBb	Mcav	H	non-lesion	Vibrio	0
PBB1	Mcav	DH	non-lesion	Vibrio	0
PBB2	Mcav	DH	non-lesion	Vibrio	0
PBB3	Mcav	DD	lesion	Vibrio	0
PBc	Mcav	H	non-lesion	Vibrio	0.0012
PBC1	Mcav	DH	non-lesion	Vibrio	0
PBC2	Mcav	DH	non-lesion	Vibrio	0.0356
PBC3	Mcav	DD	lesion	Vibrio	0
PBC4	Mcav	H	non-lesion	Vibrio	0
PBd	Mcav	H	non-lesion	Vibrio	0
PBD1	Mcav	DH	non-lesion	Vibrio	0
PBD2	Mcav	DH	non-lesion	Vibrio	0
PBD3	Mcav	DD	lesion	Vibrio	0
PBF1	Mcav	H	non-lesion	Vibrio	0
PBF2	Mcav	DH	non-lesion	Vibrio	0
PBF3	Mcav	DH	non-lesion	Vibrio	0
PBF4	Mcav	DD	lesion	Vibrio	0.0055
10FTL	Mcav	DD	lesion	Vibrio	0.0005
11FTL	Mcav	DH	non-lesion	Vibrio	0.0015
12FTL	Mcav	DH	non-lesion	Vibrio	0
13FTL	Ofav	DH	non-lesion	Vibrio	0
14FTL	Ofav	DH	non-lesion	Vibrio	0
15FTL	Ofav	DD	lesion	Vibrio	0
1FTL	Mcav	DD	lesion	Vibrio	0
2FTL	Mcav	DH	non-lesion	Vibrio	0
3FTL	Mcav	DH	non-lesion	Vibrio	0
4FTL	Mcav	DD	lesion	Vibrio	0.0077
5FTL	Mcav	DH	non-lesion	Vibrio	0
6FTL	Mcav	DH	non-lesion	Vibrio	0
7FTL	Mcav	DD	lesion	Vibrio	0.0071
8FTL	Mcav	DH	non-lesion	Vibrio	0.0046
9FTL	Mcav	DH	non-lesion	Vibrio	0
